primary_unit_encoded,skill_encoded,jaccard_followers,jaccard_followees,num_followers_s,num_followees_s,num_followers_d,num_followees_d,inter_followers,inter_followees,adar_index,follows_back,same_comp,shortest_path,page_rank_s,page_rank_d,katz_s,katz_d,hubs_s,hubs_d,authorities_s,authorities_d,indicator_link
145,46,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011461911577745924,0.10671436394391955,0.10724793576363913,8.799425021205394e-51,0.0,0.0,7.122023497649266e-52,1.0
142,101,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011215713463336807,0.10671436394391955,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0
145,26,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011461911577745924,0.10671436394391955,0.10724793576363913,8.799425021205394e-51,0.0,0.0,7.122023497649266e-52,1.0
145,103,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011461911577745924,0.10671436394391955,0.10724793576363913,8.799425021205394e-51,0.0,0.0,7.122023497649266e-52,1.0
143,135,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719873,0.012282571959109652,0.10671436394391955,0.10724793576363913,9.266667733495833e-139,0.0,0.0,1.6250427866776752e-139,1.0
146,81,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011411667064601207,0.10671436394391955,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0
142,51,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011215713463336807,0.10671436394391955,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0
142,116,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011215713463336807,0.10671436394391955,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0
144,70,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011239777940685066,0.10671436394391955,0.10724793576363913,1.3327216114960897e-07,0.0,0.0,7.3803727863405435e-09,1.0
145,22,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011461911577745924,0.10671436394391955,0.10724793576363913,8.799425021205394e-51,0.0,0.0,7.122023497649266e-52,1.0
142,12,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011215713463336807,0.10671436394391955,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0
146,29,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011411667064601207,0.10671436394391955,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0
142,3,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011215713463336807,0.10671436394391955,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0
146,92,0.0,0.0,0,14,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011411667064601207,0.10671436394391955,0.10724793576363913,0.13962037136442576,0.0,0.0,0.007286209545100076,1.0
145,62,0.0,0.0,0,13,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011461911577745924,0.10671436394391955,0.10724793576363913,8.799425021205394e-51,0.0,0.0,7.122023497649266e-52,1.0
147,35,0.0,0.0,0,3,1,0,0,0,0,0,0,-1,0.010758488393719873,0.013806655524499431,0.10671436394391955,0.10724793576363913,1.2504453826644524e-217,0.0,0.0,4.3856698171839923e-218,1.0
143,139,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719873,0.012282571959109652,0.10671436394391955,0.10724793576363913,9.266667733495833e-139,0.0,0.0,1.6250427866776752e-139,1.0
144,75,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011239777940685066,0.10671436394391955,0.10724793576363913,1.3327216114960897e-07,0.0,0.0,7.3803727863405435e-09,1.0
142,13,0.0,0.0,0,20,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011215713463336807,0.10671436394391955,0.10724793576363913,0.8603794953634132,0.0,0.0,0.04489964630707578,1.0
147,121,0.0,0.0,0,3,1,0,0,0,0,0,0,-1,0.010758488393719873,0.013806655524499431,0.10671436394391955,0.10724793576363913,1.2504453826644524e-217,0.0,0.0,4.3856698171839923e-218,1.0
144,126,0.0,0.0,0,19,1,0,0,0,0,0,0,-1,0.010758488393719873,0.011239777940685066,0.10671436394391955,0.10724793576363913,1.3327216114960897e-07,0.0,0.0,7.3803727863405435e-09,1.0
148,104,0.0,0.0,0,6,1,0,0,0,0,0,0,-1,0.010758488393719873,0.012282571959109652,0.10671436394391955,0.10724793576363913,9.266667733495833e-139,0.0,0.0,1.6250427866776752e-139,1.0
